ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
31/01/2012;20/03/2012;GRES IMPERATRIZ DE OLARIA;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA.  QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012. NA AVENIDA ALBERTO BRAUNE. Nº 225. NESTA CIDADE.
31/01/2012;20/03/2012;GRÊMIO RECREATIVO VILAGE NO SAMBA;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA  ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012.
31/01/2012;20/03/2012;G.R.E.S UNIDOS DA SAUDADE;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012.
31/01/2012;25/05/2012;GRÊMIO RECREATIVO ALUNOS DO SAMBA;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TITULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012.
31/01/2012;10/05/2012;G.R. BLOCO CARNAVALESCO UNIDOS DO IMPERADOR;23154.33;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA BLOCO. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012.
31/01/2012;18/04/2012;G.R. BLOCO CARNAVALESCO BOLA BRANCA;23154.33;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012.
31/01/2012;20/03/2012;BLOCO CARNAVALESCO RAIO DE LUAR;23154.33;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA BLOCO. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012.
31/01/2012;20/03/2012;LIGA IDEPENDENTE DAS ESCOLAS DE SAMBA;117590;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA A LIGA. PARA  REALIZAÇÃO DO CARNAVAL 2012.
06/02/2012;20/03/2012;G.R.E.S. ACADÊMICOS DO PRADO;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012.
02/02/2012;02/08/2012;COMBINA - COMPANHIA DOS BICHOS E DA NATUREZA;60000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES COM TODAS ETAPAS E METAS.
27/03/2012;31/12/2012;ASSOC FRIBURG. DE AMIGOS E PAIS DO EDUCANDO  AFAPE;137812.5;O VALOR CONSTANTE NA CLAUSULA NONA DO CONVENIO 017/12. NO MONTANTE DE 137.812.50 (CENTO E TRINTA E SETE MIL. OITOCENTOS E DOZE REAIS E CINQUENTA CENTAVOS). SERÁ POR ESTE TERMO COMPLEMENTADO EM R$ 10.520.00.
16/03/2012;31/12/2012;GRUPO DE PROMOCAO HUMANA - GPH;228098.16;O PRESENTE CONVÊNIO TEM POR OBJETO O ATENDIMENTO GRATUITO A 100 CRIANÇAS CARENTES NA FAIXA ETÁRIA DE 01 A 06 ANOS.
23/03/2012;31/12/2012;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;74660.4;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO FUNCIONAMENTO DE SUAS ATIVIDADES.
23/03/2012;31/12/2012;CRECHE COLMEIA DO SENHOR;459106;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MAUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
23/03/2012;31/12/2012;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS-APAE;178044.25;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
23/03/2012;31/12/2012;ACAO SOCIAL ANCHIETA - ASA;95682.85;
27/03/2012;02/07/2013;SOCIEDADE MUSICAL BENEFIC. CAMPESINA FRIBURGUENSE;84000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES.
27/03/2012;31/12/2012;INSTITUTO BELGICA-NOVA FRIBURGO;126000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS.
27/03/2012;31/12/2012;INSTITUTO BELGICA-NOVA FRIBURGO;126000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS.
27/03/2012;20/05/2012;UNIÃO BRASILEIRA DE TROVADORES - NOVA FRIBURGO;15000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS.
04/04/2012;31/12/2012;SOCIEDADE MUSICAL EUTERPE LUMIARENSE;25000;O PRESENTE CONVENIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DE PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS.
11/04/2012;31/12/2012;ASSOCIAÇÃO DA MULHER MASTECTOMIZADA;25000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 04/06 DO PROCESSO ADMINISTRATIVO Nº 3778/12.
18/04/2012;31/12/2012;ASSOCIACAO DE PAIS E AMIGOS DA CRIANCA- APAC;38937.6;O PRESENTE CONVÊNIO TEM POR OBJETO A SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS. CONFORME O DISPOSTO NO PLANO DE TRABALHO DESCRITO ÀS FLS. 04/06 DO PROCESSO ADMINISTRATIVO Nº 3972/12.
04/04/2012;31/12/2012;SOCIEDADE MUSICAL BENEF. EUTERPE FRIBURGUENSE;84000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A  CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES. COM TODAS AS ETAPAS E METAS.
