ASSINATURA;VENCIMENTO;FORNECEDOR;VALOR;OBJETIVO
02/01/2013;02/01/2017;MUNICÍPIO DE DUAS BARRAS;1;O CONVÊNIO TEM POR OPBJETO A COOPERAÇÃO TÉCNICA. CIENTÍFICA E PROFISSIONAL ENTRE OS CONVENENTES. COM VISTAS À CESSÃO E PERMUTA DE FUNCIONÁRIOS PÚBLICOS ESTÁVEIS
30/01/2013;12/02/2013;G.R. BLOCO CARNAVALESCO BOLA BRANCA;23154.33;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA O BLOCO. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2013.
30/01/2013;12/02/2013;G.R. BLOCO CARNAVALESCO UNIDOS DO IMPERADOR;23154.33;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA BOLCO. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2013.
09/02/2013;12/02/2013;GRÊMIO RECREATIVO ALUNOS DO SAMBA;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR DESFILE NO CARNAVAL DE 2013.
08/02/2013;13/02/2013;LIGA IDEPENDENTE DAS ESCOLAS DE SAMBA;117590;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA A LIGA. PARA  REALIZAÇÃO DO CARNAVAL 2013.
08/02/2013;13/02/2013;G.R.E.S UNIDOS DA SAUDADE;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2013.
08/02/2013;13/02/2013;GÊMIO RECREATIVO VILAGE NO SAMBA;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2012.
08/02/2013;13/02/2013;GRES IMPERATRIZ DE OLARIA;46309.94;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA ESCOLA. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2013.
08/02/2013;13/02/2013;BLOCO CARNAVALESCO RAIO DE LUAR;23154.33;O PRESENTE CONVÊNIO TEM POR OBJETO O REPASSE A TÍTULO DE SUBVENÇÃO PARA BLOCO. QUE DEVERÁ REALIZAR O DESFILE NO CARNAVAL DE 2013.
06/03/2013;31/12/2013;SOCIEDADE MUSICAL BENEF. EUTERPE FRIBURGUENSE;144000;O PRESENTE CONVÊNIO TEM POR OBJETO SUBVENCIONAR A CONVENIADA NA MANUTENÇÃO DO PLENO DESENVOLVIMENTO DE SUAS ATIVIDADES E DO PROJETO BANDA NA PRAÇA.
