ANO;DESPESA;VALOR;DATA;ORGAO;NOME_FAVORECIDO;CNPJ_FAVORECIDO;EMPENHO;FONTE;VALOR_PAGO;PAGO;LIQUIDADO;DOTACAO
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA. CONFORME  PROCESSO N° 8867/14;8282; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;558;7;8282; SIM; SIM;" 0011030100682173 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO CAPS. CONFORME PROCESSO N° 8867/14;1948.4; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;568;7;1948.4; SIM; SIM;" 0011030200692184 - 33903000000 - Fonte: 0007 - SUS"""
2015; AQUISIÇÃO DE MATERIAL DE LIMPEZA DE USO GERAL PARA ATENDER  AS NECESSIDADES DO PROGRAMA DE ATENÇÃO BÁSICA EM SAÚDE.  CONFORME PROCESSO N° 8867/14;9714.39; 23/07/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; 100% EMBALAGENS DISTRIBUIDORA DE ALÉM PARAÍBA LTDA;4168271000292;577;7;9714.39; SIM; SIM;" 0011030100682171 - 33903000000 - Fonte: 0007 - SUS"""
2015; VALOR REFERENTE AS DIÁRIAS REGISTRADO NA FOLHA DE     PAGAMENTO DO MÊS:       - ASSISTÊNCIA SOCIAL - RP - CONTRATADOS;0; 28/07/2015; FUNDO MUNICIPAL DE HABITAÇÃO E INTERESSE SOCIAL DE; 3 TEC LTDA ME;329754000190;1;13;0; NÃO; SIM;" 0011545100711035 - 44905100000 - Fonte: 0013 - DIRET ARRECADADOS"""
2015; RESTAURAÇÃO DE UM CONJUNTO DE ESTÁTUAS HISTÓRICAS E  CENTENÁRIAS EM MÁRMORE CARRARA. CONFORME PROCESSO N °16198/14;30800; 09/09/2015; FUNDAÇÃO MUNICIPAL DO PRÓ - MEMÓRIA ( FUNDAÇÃO DJ; ABÓBADA PROJETOS E OBRAS LTDA;1310974000134;3;0;0; NÃO; NÃO;" 0011339100612215 - 33903900000 - Fonte: 0000 - ORDINÁRIOS (NÃO VINCULADO)"""
2015; AQUISIÇÃO DE PIGMENTO EM PÓ AMARELO. CONFORME PROCESSO N °9398/15;11200; 23/10/2015; PREFEITURA MUNICIPAL DE NOVA FRIBURGO; ABS LOPES REPRESENTAÇÃO COMERCIAL;7687910000133;805;1;11200; SIM; SIM;" 0020412200012002 - 33903000000 - Fonte: 0001 - RECURSOS DE IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS"""
2015; AQUISIÇÃO DE FERRAMENTAS. CONFORME PROCESSO N°9398/15;1506; 23/10/2015; PREFEITURA MUNICIPAL DE NOVA FRIBURGO; ABS LOPES REPRESENTAÇÃO COMERCIAL;7687910000133;806;1;1506; SIM; SIM;" 0020412200012002 - 33903000000 - Fonte: 0001 - RECURSOS DE IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS"""
2015; SUBVENÇÃO - LEI MUNICIPAL Nº4363. CONFORME PROCESSO Nº30502/14;111767; 06/02/2015; PREFEITURA MUNICIPAL DE NOVA FRIBURGO; ACAO SOCIAL ANCHIETA-CRECHE BERCARIO SAO JOSE;30177273000177;329;1;111767; SIM; SIM;" 0031236500102129 - 33504300000 - Fonte: 0001 - RECURSOS DE IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS"""
2015; SUBVENÇÃO - LEI MUNICIPAL Nº4363. CONFORME PROCESSO Nº30502/14;111767; 06/02/2015; PREFEITURA MUNICIPAL DE NOVA FRIBURGO; ACAO SOCIAL ANCHIETA-CRECHE BERCARIO SAO JOSE;30177273000177;330;1;111767; SIM; SIM;" 0041236500102129 - 33504300000 - Fonte: 0001 - RECURSOS DE IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS"""
2015; Aquisição de material de limpeza de uso geral para atender as necessidades do HMRS. conforme Processo n° 8867/14;13578; 02/01/2015; FUNDO MUNICIPAL DE SAÚDE DE NOVA FRIBURGO; ACEPEL COMÉRCIO DE ALIMENTOS TRIRRIENSE LTDA;10881034000196;166;7;13578; SIM; SIM;" 0011030200702188 - 33903000000 - Fonte: 0007 - SUS"""
